Date,Price,Open,High,Low,Vol.,Change ,Change p,Constant,Returns
1-Oct,"9,075.14","8,845.97","9,598.17","8,732.14",5.72B,2.57%,0.0257,,2.57
1-Sep,"8,847.56","9,946.98","10,182.38","8,062.34",393.05M,0.00%,0,,0
1-Sep,"8,847.56","9,946.98","10,182.38","8,062.34",5.56B,-11.08%,-0.1108,,-11.08
1-Aug,"9,949.75","10,527.38","10,609.65","9,869.14",4.08B,-5.45%,-0.0545,,-5.45
1-Jul,"10,522.81","10,504.95","10,679.12","10,120.89",230.02M,0.00%,0,,0
1-Jul,"10,522.81","10,504.95","10,679.12","10,120.89",4.61B,0.19%,0.0019,,0.19
1-Jun,"10,502.40","10,913.57","11,196.53","10,394.72",4.89B,-3.75%,-0.0375,,-3.75
1-May,"10,911.94","10,734.05","11,350.05","10,673.22",4.52B,1.65%,0.0165,,1.65
1-Apr,"10,734.97","9,877.16","10,906.41","9,375.72",272.38M,0.00%,0,,0
1-Apr,"10,734.97","9,877.16","10,906.41","9,375.72",5.18B,8.67%,0.0867,,8.67
